18:42:42 INFO  : Launching XSCT server: xsct.bat -n  -interactive D:\Vivado_Project\MS.CnnAccFPGA\Vitis_workspace\temp_xsdb_launch_script.tcl
18:42:42 INFO  : Registering command handlers for Vitis TCF services
18:42:44 INFO  : XSCT server has started successfully.
18:42:44 INFO  : Successfully done setting XSCT server connection channel  
18:42:44 INFO  : plnx-install-location is set to ''
18:42:44 INFO  : Successfully done setting workspace for the tool. 
18:42:44 INFO  : Successfully done query RDI_DATADIR 
18:42:44 INFO  : Platform repository initialization has completed.
18:43:43 INFO  : Result from executing command 'getProjects': HwProj
18:43:43 INFO  : Result from executing command 'getPlatforms': 
18:47:33 INFO  : Result from executing command 'getProjects': HwProj
18:47:33 INFO  : Result from executing command 'getPlatforms': HwProj|D:/Vivado_Project/MS.CnnAccFPGA/Vitis_workspace/HwProj/export/HwProj/HwProj.xpfm
